Навык,Количество,Процент
Инновационный менеджмент,1,0.02%
Управление организационными изменениями,1,0.02%
Управление изменениями,1,0.02%
1C,1,0.02%
Маркетинговые метрики,1,0.02%
Реструктуризация долга,1,0.02%
FP&A,1,0.02%
Pest-Анализ,1,0.02%
Разработка стратегии развития,1,0.02%
Доверительное управление,1,0.02%
Хеджирование валютных рисков,1,0.02%
Еврооблигации,1,0.02%
Рублевые облигации,1,0.02%
Привлечение инвестиций,1,0.02%
MS Access,1,0.02%
Создание конфигурации 1С,1,0.02%
координация проектов,1,0.02%
исполнение поручений руководителя,1,0.02%
Навыки работы с первичной документацией,1,0.02%
Составление договоров,1,0.02%
Работа с инвесторами,1,0.02%
Желание расти и развиваться,1,0.02%
Валютные операции,1,0.02%
Валютное законодательство,1,0.02%
Мониторинг законодательства,1,0.02%
Копирайтинг,1,0.02%
Стрессоустойчивость,1,0.02%
Сценарный анализ,1,0.02%
1C:8,1,0.02%
Анализ,1,0.02%
Бюджетирование и планирование,1,0.02%
Умение планировать,1,0.02%
финтабло,1,0.02%
кассовая дисциплина,1,0.02%
Проверка статистических гипотез,1,0.02%
Анализ научной литературы,1,0.02%
Событийная аналитика,1,0.02%
Быстрая обучаемость,1,0.02%
Деловые коммуникации,1,0.02%
Linux,1,0.02%
1С: Предприятие,1,0.02%
Визуализация данных,1,0.02%
Грамотная письменная речь,1,0.02%
Умение слушать,1,0.02%
Доброта,1,0.02%
Знания в цифровых активах и валютах,1,0.02%
Знания в P2P торговле,1,0.02%
Умение быстро печатать на клавиатуре,1,0.02%
Знание ПК,1,0.02%
Умение считать проценты,1,0.02%
Искренность,1,0.02%
Порядочность,1,0.02%
Честность,1,0.02%
"Продвинутый уровень Excel, Word, 1C, ERP системы",1,0.02%
Аудит закупок,1,0.02%
Бюджетный контроль,1,0.02%
Работа с таблицами,1,0.02%
Математический склад ума,1,0.02%
Аналитика данных,1,0.02%
Ответственнсть,1,0.02%
Diasoft,1,0.02%
Контур,1,0.02%
Atlassian Jira,1,0.02%
ORACLE,1,0.02%
кредитная аналитика,1,0.02%
УНФ,1,0.02%
Financial Analysis,1,0.02%
Преобразование данных,1,0.02%
Анализ ценообразования,1,0.02%
расчет PNL,1,0.02%
Oracle Hyperion,1,0.02%
Navision,1,0.02%
Банковское право,1,0.02%
Google sheets,1,0.02%
Моделирование бизнес процессов,1,0.02%
Экспертиза документов,1,0.02%
Capex,1,0.02%
Согласование заявок на платежи,1,0.02%
проверка ДДС,1,0.02%
Консолидация международной отчетности,1,0.02%
ДипИФР,1,0.02%
Банковское финансирование,1,0.02%
Расчет премий и бонусов,1,0.02%
финансовые рынки,1,0.02%
Расчет зарплаты,1,0.02%
MS SharePoint,1,0.02%
анализ и прогнозирование спроса на нефтепродукты,1,0.02%
Работа с документами,1,0.02%
1С: Управление Торговлей,1,0.02%
Кассовые документы,1,0.02%
Поиск информации в интернет,1,0.02%
Анализ требований,1,0.02%
Менеджмент,1,0.02%
1С-Битрикс,1,0.02%
Отчетность,1,0.02%
ИТ,1,0.02%
Конкурентная аналитика,1,0.02%
Внешний финансовый аудит,1,0.02%
Контроль исполнения решений,1,0.02%
Googl таблицы,1,0.02%
ROA,1,0.02%
EBITDA,1,0.02%
