Навык,Количество,Процент
Деловые коммуникации,2,0.05%
Анализ конкурентной среды,2,0.05%
Финансовый контроль,2,0.05%
Разработка стратегии развития,2,0.05%
кредитный анализ,2,0.05%
Разработка склада,2,0.05%
поддержка пользователей,2,0.05%
Управление процессами,2,0.05%
Transact-SQL,2,0.05%
Управление производством,2,0.05%
Аналитик,2,0.05%
Инвестиционный анализ,2,0.05%
Навыки переговоров,2,0.05%
Подготовка отчетов,2,0.05%
Разработка проектных документов,2,0.05%
Тестирование разработанного функционала,2,0.05%
1С: ERP Управление предприятием,2,0.05%
Pest-Анализ,2,0.05%
Работа без опыта,2,0.05%
Ведение отчетности,2,0.05%
RPA,2,0.05%
Автоматизация управленческой отчетности,2,0.05%
CRM Битрикс24,2,0.05%
Roadmap,2,0.05%
Выявление потребностей,2,0.05%
Бизнес-планирование,2,0.05%
Финансовый менеджмент,2,0.05%
Написание технических заданий,2,0.05%
Lucidchart,2,0.05%
MS CRM,2,0.05%
Аванкор,2,0.05%
Data Analysis,2,0.05%
Отчетность,2,0.05%
КХД,2,0.05%
Разработка регламентов,2,0.05%
Business intelligence,2,0.05%
Интеграция,2,0.05%
Основы баз данных,2,0.05%
Kanban,2,0.05%
Управление стейкхолдерами,2,0.05%
Внимательность,2,0.05%
Бухгалтерская отчетность,2,0.05%
1С-Рарус,2,0.05%
Cash Flow,2,0.05%
1С: Управление Холдингом,2,0.05%
руководство командой разработчиков,2,0.05%
Написание текстов для соцсетей,1,0.02%
Аудит,1,0.02%
Консультационная поддержка,1,0.02%
Развитие 1С ERP,1,0.02%
MPSTATS,1,0.02%
A/A тесты,1,0.02%
MS Access,1,0.02%
1С: CRM ПРОФ,1,0.02%
1с:crm,1,0.02%
Прямые продажи,1,0.02%
Программы лояльности,1,0.02%
Маркетинговые коммуникации,1,0.02%
Интернет маркетинг,1,0.02%
Roistat,1,0.02%
HoReCa,1,0.02%
Вывод продукта на рынок,1,0.02%
Разработка продуктовой концепции,1,0.02%
Инструменты маркетплейсов,1,0.02%
Разработка маркетинговых кампаний,1,0.02%
B2B маркетинг,1,0.02%
операции с эмиссионными ценными бумагами,1,0.02%
Внедрение ПО,1,0.02%
Помощь пользователям,1,0.02%
Инструкции по ПО,1,0.02%
My SAP ERP,1,0.02%
Внедрение битрикс24,1,0.02%
битрикс,1,0.02%
Системный подход,1,0.02%
Консолидация финансовой отчетности,1,0.02%
Составление технических заданий,1,0.02%
Доверительное управление,1,0.02%
Учет ценных бумаг,1,0.02%
Проведение тестирований,1,0.02%
Android,1,0.02%
iOS,1,0.02%
Табличные процессоры,1,0.02%
Умение работать в команде,1,0.02%
Product Management,1,0.02%
M2M,1,0.02%
IoT,1,0.02%
Разработка продукта,1,0.02%
Битрикс 24,1,0.02%
Сопровождение клиентов,1,0.02%
Факторный анализ,1,0.02%
ИИ,1,0.02%
Подготовка БТ,1,0.02%
Написание промтов,1,0.02%
Написание макросов,1,0.02%
Ad Hoc Analysis,1,0.02%
Высшее образование,1,0.02%
Критическое мышление,1,0.02%
настройка бизнес-процессов,1,0.02%
Событийная аналитика,1,0.02%
СЭД DocsVision,1,0.02%
Амбициозность,1,0.02%
Креативность,1,0.02%
Системная аналитика,1,0.02%
План-факт анализ,1,0.02%
1С: УСН,1,0.02%
Методология тестирования,1,0.02%
Расстановка приоритетов,1,0.02%
Phyton,1,0.02%
SPSS,1,0.02%
PlantUML,1,0.02%
InfluxDB,1,0.02%
1С: УНФ,1,0.02%
Сосредоточенность,1,0.02%
Терпеливость,1,0.02%
РД 50-34,1,0.02%
Умение общаться с клиентами,1,0.02%
Грамотная русская речь,1,0.02%
Сбор требований для составления ТЗ,1,0.02%
VueJS,1,0.02%
Автоматизация технологических процессов,1,0.02%
BPM CBOK,1,0.02%
1C: Документооборот,1,0.02%
Целеустремленность,1,0.02%
MS Dynamics CRM,1,0.02%
iGaming,1,0.02%
Gambling Industry,1,0.02%
Business Analyst,1,0.02%
Adobe Photoshop,1,0.02%
Графический дизайн,1,0.02%
Организация мероприятий,1,0.02%
Знание MS Office,1,0.02%
Работа в Excel,1,0.02%
Оперативный поиск информации в сети Интернет,1,0.02%
User Flow,1,0.02%
Приоритизация бэклога,1,0.02%
Murex,1,0.02%
Radius,1,0.02%
Kondor,1,0.02%
Управление продуктом ОСАГО,1,0.02%
Анализ портфеля и работа с отклонениями по ОСАГО,1,0.02%
SOA,1,0.02%
ФармАналитик Про,1,0.02%
Продвинутый пользователь ПК,1,0.02%
Redmine,1,0.02%
EAM,1,0.02%
ECM,1,0.02%
Системность,1,0.02%
Разработка учебных материалов,1,0.02%
Проведение обучений,1,0.02%
Опыт внедрения ИТ-систем управления производством,1,0.02%
"Понимание предметной области (управление производством, запасами, поставками)",1,0.02%
Выраженное желание работать в нашей компании,1,0.02%
Желание и способность постоянно развиваться,1,0.02%
Управление сложными производствами РФ,1,0.02%
Написание процедур,1,0.02%
ГОСТ 19,1,0.02%
Оценка персонала,1,0.02%
Кадровое планирование,1,0.02%
Корпоративная культура,1,0.02%
Контроль ведения кадрового документооборота,1,0.02%
Мотивация персонала,1,0.02%
Онбординг,1,0.02%
eEPC,1,0.02%
Customer Journey Maps,1,0.02%
Логическое мышление,1,0.02%
Google таблицы,1,0.02%
Мониторинг цен,1,0.02%
Знание Excel,1,0.02%
опытный пользователь ПК,1,0.02%
1С: Торговля и склад,1,0.02%
1С: Склад,1,0.02%
Ext JS,1,0.02%
Налоговая отчетность,1,0.02%
Первичная бухгалтерская документация,1,0.02%
Кадровое делопроизводство,1,0.02%
Работа с API интеграционными решениями для партнёров,1,0.02%
Работа с гибкой тарификацией продукта ОСАГО,1,0.02%
Обучение,1,0.02%
Яндекс.Директ,1,0.02%
Навыки делового общения,1,0.02%
Управление временем,1,0.02%
"Создание, развитие и ведение клиентской базы",1,0.02%
Организация мероприятий для сотрудников,1,0.02%
Умение вести переговоры,1,0.02%
Удаленная работа,1,0.02%
Общение с клиентами,1,0.02%
Работа с партнерами,1,0.02%
Java Script,1,0.02%
Weeek,1,0.02%
Superset,1,0.02%
А/В,1,0.02%
Нацеленность на результат,1,0.02%
Умение быстро усваивать новую информацию,1,0.02%
Use cases,1,0.02%
cjm,1,0.02%
Bitrix,1,0.02%
radius,1,0.02%
kondor,1,0.02%
Оптимизация процессов,1,0.02%
Брокерское обслуживание,1,0.02%
Ручное тестирование,1,0.02%
GAP-анализ,1,0.02%
Risk management,1,0.02%
Аналитик 1С,1,0.02%
CONFLUENCE,1,0.02%
JIRA,1,0.02%
SIPOC,1,0.02%
US,1,0.02%
Разработка функциональных моделей,1,0.02%
Ревью тест-кейсов,1,0.02%
платежная система,1,0.02%
ERP-системы,1,0.02%
архитектура предприятия,1,0.02%
Archimate Modelling Language,1,0.02%
EPCIS,1,0.02%
Tasks Tracking Sytems,1,0.02%
Mindbox,1,0.02%
ERP Systems,1,0.02%
Производственное планирование,1,0.02%
Заключение договоров,1,0.02%
Сбор и формализация,1,0.02%
аналитика,1,0.02%
методологии,1,0.02%
Информационная безопасность,1,0.02%
продуктовый аналитик,1,0.02%
poduct analyst,1,0.02%
Fine bi,1,0.02%
murex,1,0.02%
Adobe Illustrator,1,0.02%
1С программирование,1,0.02%
1с управление задолженностью,1,0.02%
UC,1,0.02%
MS SharePoint,1,0.02%
Удаленное администрирование,1,0.02%
ad-hoc,1,0.02%
ГОСТ,1,0.02%
Моделирование,1,0.02%
UAT-тестирование,1,0.02%
Apache Superset,1,0.02%
Logstash,1,0.02%
Vertica,1,0.02%
BI Tableau,1,0.02%
AML,1,0.02%
Желание развиваться,1,0.02%
Анализ инцидентов и проблем,1,0.02%
Создание пользовательской документации,1,0.02%
Разработка и формализация необходимых бизнес-процессов,1,0.02%
Pre-sale,1,0.02%
Работа с CRM,1,0.02%
Подготовка коммерческих предложений,1,0.02%
подготовка технико-коммерческих предложений,1,0.02%
Участие в Тендерах,1,0.02%
Дашборды,1,0.02%
WEB аналитика,1,0.02%
Умение анализировать,1,0.02%
product owner,1,0.02%
АБС ЦФТ,1,0.02%
Описание бизнес требований,1,0.02%
XGBoost,1,0.02%
Scikit-learn,1,0.02%
ИСУП,1,0.02%
Реализация проектов,1,0.02%
Дашборд,1,0.02%
ELMA365,1,0.02%
HRM,1,0.02%
Капитальное строительство,1,0.02%
Тестирование баз данных,1,0.02%
консолидация управленческой отчетности,1,0.02%
1С:ERP,1,0.02%
fine bi,1,0.02%
Мотивационные программы,1,0.02%
AXAPTA,1,0.02%
DocsVision,1,0.02%
Workflow,1,0.02%
финансовая модель,1,0.02%
финмодель,1,0.02%
WMS,1,0.02%
1С:КА2,1,0.02%
Знание БУ и НУ,1,0.02%
Производственный учет,1,0.02%
1С Предприятие 8.3,1,0.02%
ERP и учётные системы,1,0.02%
Управление проектом,1,0.02%
Разработка локальных нормативных актов,1,0.02%
Декомпозиция бизнес-процессов,1,0.02%
Бизнес анализ,1,0.02%
Бизнес требования,1,0.02%
UAT,1,0.02%
Консультирование клиентов,1,0.02%
Гибкость и самообучаемость,1,0.02%
Контент-структурирование,1,0.02%
Бенчмаркинг,1,0.02%
Исследование потребительских предпочтений,1,0.02%
Исследования рынка,1,0.02%
Стратегический консалтинг,1,0.02%
Организационная структура,1,0.02%
Agile-методологий,1,0.02%
построения схем бизнес-процессов,1,0.02%
агрегация данных,1,0.02%
Понимание построения БД,1,0.02%
Интерес к digital/технологиям,1,0.02%
Пунктуальность,1,0.02%
Формирование технического задания для разработки,1,0.02%
AI,1,0.02%
BigQuery,1,0.02%
Amplitude,1,0.02%
Подготовка инструкций,1,0.02%
Тестирование,1,0.02%
BI-аналитика,1,0.02%
Интергация Битрикс,1,0.02%
GreenData,1,0.02%
Системный аналитик,1,0.02%
UML-диаграммы,1,0.02%
Микросервисная архитектура,1,0.02%
ER-модели,1,0.02%
HR-аналитика,1,0.02%
Мотивация,1,0.02%
Azure,1,0.02%
Коммерческая разработка,1,0.02%
Fullstack-аналитика,1,0.02%
Коммуникация с подрядчиками,1,0.02%
Базовое понимание продаж и маркетинга,1,0.02%
MPSTATAS,1,0.02%
EGGHEADS,1,0.02%
Электронный архив,1,0.02%
Интеграция программных модулей,1,0.02%
брокерская деятельность,1,0.02%
SAP ERP,1,0.02%
Интеграция 1С,1,0.02%
Дорожные карты,1,0.02%
Анализ текущих финансовых показателей,1,0.02%
HTML,1,0.02%
Linux,1,0.02%
CSS,1,0.02%
Инновационный менеджмент,1,0.02%
Разработка бизнес-плана,1,0.02%
OLA,1,0.02%
SLA,1,0.02%
Service Desk,1,0.02%
Apache SuperSet,1,0.02%
Преобразование данных,1,0.02%
Fine BI,1,0.02%
Мобильность,1,0.02%
кредитные риски,1,0.02%
Методология,1,0.02%
Бизнес-требования,1,0.02%
Управление финансами,1,0.02%
Маркетинговый аудит,1,0.02%
Геомаркетинг,1,0.02%
РСБУ,1,0.02%
"способность анализировать проблемы, эффективно искать пути их разрешения",1,0.02%
Настройка модулей,1,0.02%
сводные таблицы,1,0.02%
ABC/XYZ,1,0.02%
Разработка технической документации,1,0.02%
Yandex DataLens,1,0.02%
SWOT-анализ,1,0.02%
.NET,1,0.02%
iOS/Android,1,0.02%
Redis,1,0.02%
Prometheus,1,0.02%
React,1,0.02%
GraphQL,1,0.02%
S7 Airlines,1,0.02%
Cистемы управления базами данных,1,0.02%
описание бизнес процессов,1,0.02%
BPWin,1,0.02%
erWin,1,0.02%
Настройка ПО,1,0.02%
Выполнение расчетов,1,0.02%
IP-телефония,1,0.02%
B2B,1,0.02%
подготовка и разработка аналитических отчетов,1,0.02%
разработка новых форм отчетов в 1С,1,0.02%
Контроль выполнения задач,1,0.02%
Системное тестирование,1,0.02%
Фондовый рынок,1,0.02%
Инвестиционная деятельность,1,0.02%
дилерская деятельность,1,0.02%
B2B-маркетинг,1,0.02%
Коммуникационная стратегия,1,0.02%
Разработка и внедрение KPI,1,0.02%
QA,1,0.02%
Функциональное тестирование,1,0.02%
Terrasoft CRM,1,0.02%
data vault,1,0.02%
Research,1,0.02%
Strategy & Operations,1,0.02%
ESG,1,0.02%
Налоги,1,0.02%
Исследования,1,0.02%
Аналитик-исследователь,1,0.02%
Экономика,1,0.02%
Климат,1,0.02%
Общебанковские процессы,1,0.02%
Postgres,1,0.02%
Биллинг,1,0.02%
Apex,1,0.02%
Storm,1,0.02%
"UML, ERD, BPMN",1,0.02%
Sequence,1,0.02%
Анализ расчетов,1,0.02%
ER диаграммы,1,0.02%
Описание логической модели баз данных,1,0.02%
ABC-анализ,1,0.02%
маркетплейсы,1,0.02%
web-сервисы,1,0.02%
MongoDB,1,0.02%
Проектирование API,1,0.02%
написание ТЗ,1,0.02%
Функциональные требования,1,0.02%
Техническое задание,1,0.02%
Моделирование баз данных,1,0.02%
Flowchart,1,0.02%
hrm-системы,1,0.02%
Jobs To Be Done,1,0.02%
Планирование ресурсов,1,0.02%
Ведение документации,1,0.02%
Trade Marketing,1,0.02%
Планирование рекламных кампаний,1,0.02%
eEPS,1,0.02%
ChatGPT,1,0.02%
программирование,1,0.02%
Ведение технической документации,1,0.02%
Market Research,1,0.02%
Financial Planning,1,0.02%
Product Marketing,1,0.02%
Prototyping,1,0.02%
Product Roadmap Dev,1,0.02%
Управление интернет-проектами,1,0.02%
Экономическое обоснование,1,0.02%
Основы финансового менеджмента,1,0.02%
Основы налогового учета,1,0.02%
Статистическая отчетность,1,0.02%
Делегирование,1,0.02%
Работа с SQL,1,0.02%
Визуальное моделирование,1,0.02%
Принципы и подходы анализа бизнес-процессов,1,0.02%
Balsamiq,1,0.02%
Enterprise Architect,1,0.02%
Adobe XD,1,0.02%
Certified business analysis professional,1,0.02%
IIBA,1,0.02%
Agile Analysis Certification,1,0.02%
Криптография,1,0.02%
VipNet,1,0.02%
КриптоПро,1,0.02%
SSL/TLS,1,0.02%
PKI,1,0.02%
BPMSoft,1,0.02%
Data Governance,1,0.02%
бизнес-процессы,1,0.02%
1c,1,0.02%
pmbook,1,0.02%
babook,1,0.02%
руководство проектом,1,0.02%
Планирование карьеры,1,0.02%
SAP Business Objects,1,0.02%
Хранилище данных,1,0.02%
Внутренняя логистика,1,0.02%
Аналитическая отчетность,1,0.02%
Архитектурная проработка,1,0.02%
"Excel (ВПР, сводные таблицы)",1,0.02%
Change Management,1,0.02%
