Навык,Количество,Процент
Технический контроль производства,1,0.03%
Страхование жизни,1,0.03%
Виды страхования,1,0.03%
Монтажные графики,1,0.03%
Работа с дизайнерами,1,0.03%
Технологии добывающей промышленности,1,0.03%
Умение работать в команде,1,0.03%
Умение расставлять приоритеты,1,0.03%
светопрозрачные конструкции,1,0.03%
Управление производством,1,0.03%
Умение добиваться результата,1,0.03%
Постановка целей,1,0.03%
Желание развиваться,1,0.03%
Знание нормативной документации,1,0.03%
Грамотная письменная речь,1,0.03%
Проведение встреч,1,0.03%
Управление процессами,1,0.03%
Разговорный английский,1,0.03%
Обучаемость,1,0.03%
Построение логической взаимосвязи,1,0.03%
Культура речи,1,0.03%
Управление реновациями,1,0.03%
Эксплуатация,1,0.03%
Знание строительных материалов и технологий,1,0.03%
Работа с ключевыми клиентами,1,0.03%
работа с текущей базой клиентов,1,0.03%
Опыт строительства промышленных объектов,1,0.03%
Сбор и обработка документов,1,0.03%
металлоконструкции,1,0.03%
Монтаж инженерных систем,1,0.03%
синтека,1,0.03%
Письменный перевод,1,0.03%
Организация работы приемной,1,0.03%
Прием посетителей,1,0.03%
Деловой этикет,1,0.03%
"Отопление, вентиляция, кондиционирование",1,0.03%
Инженерная инфраструктура и сети,1,0.03%
Подбор производственного персонала,1,0.03%
Выявление рисков,1,0.03%
223-ФЗ,1,0.03%
Руководство капремонтами,1,0.03%
Поиск информации в интернет,1,0.03%
сувенирная продукция,1,0.03%
ERP-системы,1,0.03%
Оптимизация затрат,1,0.03%
Работа с претензиями,1,0.03%
Претензионная работа,1,0.03%
Складская логистика,1,0.03%
Адаптация персонала,1,0.03%
"—навыки составления и исполнения перспективных и текущих планов аналитической, экспертной работы",1,0.03%
навыки ведения деловых переговоров и составления делового письма,1,0.03%
Реализация проекта,1,0.03%
Менеджмент,1,0.03%
Продажа комплексных проектов,1,0.03%
Коммуникация с заказчиком,1,0.03%
Теплые продажи,1,0.03%
карьерный рост,1,0.03%
СЭД,1,0.03%
Налоговое консультирование,1,0.03%
Переговоры,1,0.03%
Office,1,0.03%
SketchUp,1,0.03%
Научные исследования,1,0.03%
подготовка технико-коммерческих предложений,1,0.03%
1С:Управление холдингом,1,0.03%
Строительные проекты,1,0.03%
Деловая этика,1,0.03%
Lean,1,0.03%
Отделочные работы,1,0.03%
Проектно-конструкторская деятельность,1,0.03%
Разработка технической документации,1,0.03%
machine learning,1,0.03%
Машинное обучение,1,0.03%
Планирование рабочего дня,1,0.03%
Умение организовать работу,1,0.03%
оформление договоров,1,0.03%
Адаптивное планирование,1,0.03%
Pro100,1,0.03%
ScetchUp,1,0.03%
"разработка и внедрение слаботочных систем,систем безопасности и связи",1,0.03%
ЕСКД,1,0.03%
Малоэтажное строительство,1,0.03%
Графический дизайн,1,0.03%
Автоматизация процессов,1,0.03%
Сбор требований,1,0.03%
Разработка функциональных требований,1,0.03%
Разработка пользовательской документации,1,0.03%
Подготовка отчетов,1,0.03%
Работа с запросами,1,0.03%
Сопровождение договоров,1,0.03%
Планирование численности персонала,1,0.03%
Подбор топ-менеджеров,1,0.03%
Авторский надзор,1,0.03%
Работа с существующей базой клиентов,1,0.03%
Анализ ассортиментной линейки,1,0.03%
Опыт продаж оборудования,1,0.03%
Материальная ответственность,1,0.03%
Анализ рисков,1,0.03%
проведение переговоров с первыми лицами компании,1,0.03%
Организация и системность,1,0.03%
Высокий уровень коммуникации и организаторских способностей,1,0.03%
Умение добиваться поставленных результатов в срок,1,0.03%
Стремление к саморазвитию,1,0.03%
avtoCAD,1,0.03%
Продвижение объекта,1,0.03%
Поиск объектов,1,0.03%
техническая грамотность,1,0.03%
Управление проектами в проектировании,1,0.03%
Счёт-фактура,1,0.03%
Первичная бухгалтерская документация,1,0.03%
Умение планировать,1,0.03%
Базовые знания 1С,1,0.03%
Умение управлять структурным подразделением и организовать его работу,1,0.03%
Структурированность,1,0.03%
Организованность,1,0.03%
Способность быстро реагировать,1,0.03%
Требовательность,1,0.03%
Желание профессионально развиваться,1,0.03%
Дорожная карта,1,0.03%
Разработка продуктов,1,0.03%
Нормативная документация,1,0.03%
Бизнес-проектирование,1,0.03%
Расчеты,1,0.03%
Hardware,1,0.03%
Приоритизация бэклога,1,0.03%
НИОКР,1,0.03%
Risk management,1,0.03%
Backlog,1,0.03%
Сопровождение договоров подряда,1,0.03%
Работа по спринтам,1,0.03%
Кросс-коммуникация,1,0.03%
Координация работы команды,1,0.03%
Управление ресурсами и отчетность,1,0.03%
Контроль за соблюдением нормативов и требований,1,0.03%
Управление строительными проектами,1,0.03%
Взаимодействие с заказчиками и субподрядчиками,1,0.03%
Контроль производственных процессов,1,0.03%
Опыт прохождения ГГЭ и МГЭ,1,0.03%
Участие в конференциях,1,0.03%
Способность быстро и легко обучаться,1,0.03%
Высокий уровень ответственности,1,0.03%
Навыки делового общения,1,0.03%
Работа с жалобами клиентов,1,0.03%
1С: Управление Производственным Предприятием,1,0.03%
Проектирование инженерных систем,1,0.03%
МосЭДО,1,0.03%
Контроль оформления документов,1,0.03%
Проектная работа,1,0.03%
Планирование продаж,1,0.03%
Контроль,1,0.03%
Организация,1,0.03%
Этапы жизненного цикла объекта,1,0.03%
Нормативно-технические документы,1,0.03%
Software,1,0.03%
Пунктуальность,1,0.03%
Желателен опыт работы с хранилищами данных и аналитическими системами,1,0.03%
"Опыт работы в качестве системного аналитика, архитектора систем;",1,0.03%
"Опыт управления проектами по разработке программного обеспечения, желательно для государственных стр",1,0.03%
CJM,1,0.03%
ВиК,1,0.03%
Фасилитация,1,0.03%
Навыки улаживания конфликтов,1,0.03%
Знание английского языка,1,0.03%
Разработка продукта,1,0.03%
Умение работать в коллективе,1,0.03%
Позитив,1,0.03%
Генерация идей,1,0.03%
Элитная недвижимость,1,0.03%
Реставрационные работы,1,0.03%
MS Internet,1,0.03%
СКУД,1,0.03%
Охранная сигнализация,1,0.03%
Пожарная сигнализация,1,0.03%
Формирование технического задания для разработки,1,0.03%
Организация переговоров с представителями государственных органов,1,0.03%
Мониторинг законодательства,1,0.03%
Федеральные органы государственной власти,1,0.03%
GR,1,0.03%
Проактивность,1,0.03%
Автоматизация,1,0.03%
светильники,1,0.03%
светотехника,1,0.03%
1C: Бухгалтерия,1,0.03%
"Умение расставлять приоритеты, оценивать ситуацию, принимать решения.",1,0.03%
Умение анализировать и систематизировать большие объемы информации.,1,0.03%
Правильно расставлять приоритеты,1,0.03%
Работа с людьми,1,0.03%
Капитальный ремонт,1,0.03%
Наружные инженерные сети,1,0.03%
управление проектом,1,0.03%
223 и 44 ФЗ,1,0.03%
Пресейл,1,0.03%
Государственные заказчики,1,0.03%
Продажи в государственные органы,1,0.03%
Работа с дебиторской задолженностью,1,0.03%
Контроль дебиторской задолженности,1,0.03%
Эмпатия,1,0.03%
ГОСТ,1,0.03%
Обучение,1,0.03%
Трейд-маркетинговая стратегия,1,0.03%
Отчетная документация,1,0.03%
высоковольтные,1,0.03%
Исполнительная документация,1,0.03%
ГОСТ 34,1,0.03%
ГОСТ 19,1,0.03%
СОУЭ,1,0.03%
• Уверенный пользователь ПК,1,0.03%
формирование команды,1,0.03%
пилотные проекты,1,0.03%
Tasks Tracking Sytems,1,0.03%
Customer Experience,1,0.03%
Customer Journey Mapping,1,0.03%
Договора,1,0.03%
